size,bytes,usage,minrelaytxfee
5009,1129388,5783248,0.000010000
4612,1039676,5335824,0.000010000
4659,1050241,5384672,0.000010000
4708,1061290,5435632,0.000010000
4756,1072113,5485552,0.000010000
4802,1082483,5534416,0.000010000
4846,1092410,5585808,0.000010000
4893,1103014,5640704,0.000010000
4939,1113382,5694432,0.000010000
4986,1123977,5749328,0.000010000
5032,1134346,5803056,0.000010000
5079,1144943,5857952,0.000010000
5125,1155314,5911680,0.000010000
5172,1165916,5966576,0.000010000
4755,1071882,5494368,0.000010000
4804,1082927,5545328,0.000010000
4852,1093976,5596288,0.000010000
4900,1104580,5648752,0.000010000
4946,1114951,5702480,0.000010000
4993,1125548,5757376,0.000010000
5039,1135917,5811104,0.000010000
5084,1146070,5863664,0.000010000
4661,1050662,5384704,0.000010000
4708,1061262,5433584,0.000010000
4756,1072085,5483504,0.000010000
4803,1082686,5535328,0.000010000
4849,1093061,5589056,0.000010000
4895,1103431,5642784,0.000010000
4940,1113578,5695344,0.000010000
4987,1124183,5750240,0.000010000
5033,1134560,5803968,0.000010000
4629,1043474,5350016,0.000010000
4653,1048890,5374976,0.000010000
4700,1059491,5423856,0.000010000
4747,1070093,5472736,0.000010000
4794,1080688,5524688,0.000010000
4841,1091286,5579584,0.000010000
4888,1102109,5635648,0.000010000
4935,1112483,5689376,0.000010000
4981,1122857,5743104,0.000010000
5027,1133227,5796832,0.000010000
4609,1038972,5338176,0.000010000
4631,1043933,5361056,0.000010000
4680,1055204,5413056,0.000010000
4729,1066027,5462976,0.000010000
4776,1076626,5512896,0.000010000
4824,1087454,5561776,0.000010000
4870,1097832,5613328,0.000010000
4916,1108204,5667056,0.000010000
4963,1118797,5721952,0.000010000
5011,1129619,5778016,0.000010000
5058,1140214,5832912,0.000010000
5103,1150362,5885472,0.000010000
5150,1160956,5940368,0.000010000
5196,1171324,5994096,0.000010000
4789,1079546,5525888,0.000010000
4839,1090821,5577888,0.000010000
4887,1101868,5635392,0.000010000
4934,1112238,5687952,0.000010000
4980,1122612,5741680,0.000010000
5027,1133206,5796576,0.000010000
5075,1144034,5852640,0.000010000
4656,1049595,5385552,0.000010000
4705,1060611,5436480,0.000010000
4753,1071433,5486400,0.000010000
4801,1082256,5536320,0.000010000
4848,1092859,5587376,0.000010000
4893,1103000,5639936,0.000010000
4939,1113368,5693664,0.000010000
4985,1123743,5747392,0.000010000
5033,1134564,5804624,0.000010000
5080,1145154,5858352,0.000010000
5126,1155530,5912080,0.000010000
5173,1166128,5968144,0.000010000
4743,1069165,5495072,0.000010000
4790,1079763,5543952,0.000010000
4837,1090358,5592832,0.000010000
4884,1100957,5641712,0.000010000
4931,1111553,5690592,0.000010000
4979,1122380,5740512,0.000010000
4550,1025623,5277968,0.000010000
4598,1036442,5327888,0.000010000
4646,1047495,5379888,0.000010000
4697,1058770,5430848,0.000010000
4745,1069598,5480768,0.000010000
